Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,34.750000,34.919998,34.700001,34.820000,34.820000,305522
2014-12-02,35.029999,35.180000,34.919998,34.990002,34.990002,271698
2014-12-03,35.060001,35.270000,35.060001,35.240002,35.240002,205331
2014-12-04,35.250000,35.369999,34.770000,34.799999,34.799999,369636
2014-12-05,35.090000,35.389999,35.020000,35.369999,35.369999,210693
2014-12-08,35.279999,35.310001,35.099998,35.099998,35.099998,268531
2014-12-09,34.849998,34.860001,34.290001,34.290001,34.290001,1670280
2014-12-10,34.509998,34.630001,34.180000,34.220001,34.220001,169185
2014-12-11,34.160000,34.320000,33.950001,34.200001,34.200001,568483
2014-12-12,34.029999,34.029999,33.380001,33.380001,33.380001,1071012
2014-12-15,33.220001,33.450001,32.400002,32.400002,32.400002,564473
2014-12-16,32.650002,33.139999,32.029999,33.119999,33.119999,611402
2014-12-17,32.619999,33.189999,32.619999,33.029999,33.029999,356630
2014-12-18,33.520000,34.070000,33.410000,34.070000,34.070000,1154134
2014-12-19,34.200001,34.340000,33.900002,34.250000,34.250000,2080074
2014-12-22,34.439999,34.529999,34.290001,34.410000,34.410000,642095
2014-12-23,34.389999,34.580002,34.389999,34.459999,34.459999,280006
2014-12-29,34.630001,34.630001,34.250000,34.619999,34.619999,246548
2014-12-30,34.430000,34.509998,34.250000,34.250000,34.250000,91907
2015-01-02,34.639999,34.720001,34.180000,34.200001,34.200001,86246
2015-01-05,34.150002,34.450001,33.500000,33.529999,33.529999,615277
2015-01-06,33.560001,33.639999,33.110001,33.110001,33.110001,344381
2015-01-07,33.369999,33.680000,33.240002,33.410000,33.410000,654877
2015-01-08,33.750000,34.490002,33.750000,34.340000,34.340000,1119565
2015-01-09,34.220001,34.439999,33.750000,33.970001,33.970001,327991
2015-01-12,34.070000,34.310001,33.889999,34.119999,34.119999,347329
2015-01-13,34.110001,34.730000,34.080002,34.639999,34.639999,229573
2015-01-14,34.270000,34.639999,34.020000,34.150002,34.150002,410214
2015-01-15,34.540001,35.110001,34.099998,35.000000,35.000000,2578513
2015-01-16,34.930000,35.410000,34.680000,35.320000,35.320000,2406245
2015-01-19,35.459999,35.650002,35.299999,35.369999,35.369999,795397
2015-01-20,35.520000,35.860001,35.520000,35.680000,35.680000,895057
2015-01-21,35.869999,36.000000,35.450001,36.000000,36.000000,1015993
2015-01-22,36.000000,36.700001,35.880001,36.430000,36.430000,949118
2015-01-23,36.830002,37.450001,36.750000,37.110001,37.110001,1636771
2015-01-26,37.130001,37.459999,37.009998,37.380001,37.380001,560744
2015-01-27,37.500000,37.500000,36.880001,37.180000,37.180000,1186517
2015-01-28,37.400002,37.400002,36.840000,37.180000,37.180000,716002
2015-01-29,36.950001,37.189999,36.830002,37.110001,37.110001,402794
2015-01-30,37.259998,37.279999,36.830002,36.980000,36.980000,804014
2015-02-02,36.970001,37.020000,36.660000,36.990002,36.990002,776312
2015-02-03,37.099998,37.459999,37.080002,37.240002,37.240002,835762
2015-02-04,37.330002,37.490002,37.139999,37.490002,37.490002,1673218
2015-02-05,37.230000,37.529999,37.189999,37.470001,37.470001,759414
2015-02-06,37.349998,37.630001,37.320000,37.509998,37.509998,204192
2015-02-09,37.250000,37.349998,37.040001,37.259998,37.259998,389707
2015-02-10,37.259998,37.590000,37.180000,37.500000,37.500000,345583
2015-02-11,37.529999,37.560001,37.349998,37.389999,37.389999,131234
2015-02-12,37.500000,37.799999,37.380001,37.730000,37.730000,343327
2015-02-13,37.869999,38.040001,37.790001,37.889999,37.889999,705800
2015-02-16,37.840000,37.950001,37.799999,37.900002,37.900002,266351
2015-02-17,37.860001,37.919998,37.529999,37.910000,37.910000,473813
2015-02-18,38.049999,38.259998,38.049999,38.259998,38.259998,238120
2015-02-19,38.169998,38.459999,37.980000,38.430000,38.430000,1221779
2015-02-20,38.320000,38.630001,38.310001,38.509998,38.509998,568534
2015-02-23,38.770000,38.820000,38.549999,38.820000,38.820000,583201
2015-02-24,38.779999,38.990002,38.720001,38.950001,38.950001,352130
2015-02-25,38.980000,39.029999,38.799999,38.880001,38.880001,592055
