w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
1,0,1,1,0,1,0,0,-1,0,0,0.69,9.46,-23.25,-3.1601,1
-1,-1,1,0,0,0,-1,1,0,-1,0,1.07,17.26,-25.32,-4.00354,2
1,0,0,0,0,-1,1,1,1,-1,-1,0.71,9.31,-23.31,-3.18037,3
-1,-1,1,1,1,0,0,0,-1,0,1,0.73,10.68,-25.65,-3.4636,4
1,-1,0,-1,0,1,0,1,-1,0,-1,0.75,10.12,-23.27,-3.24504,5
0,1,1,-1,0,-1,1,-1,0,-1,-1,0.71,8.91,-23.37,-3.1718900000000003,6
1,-1,0,-1,0,-1,1,1,0,-1,0,0.61,8.12,-24.81,-3.17672,7
-1,1,-1,0,1,-1,0,1,1,0,-1,1.06,15.47,-24.69,-3.87293,8
0,0,0,-1,0,-1,-1,1,-1,1,0,0.92,15.44,-27.11,-3.95452,9
1,-1,0,-1,1,0,-1,-1,1,0,1,0.45,4.87,-21.59,-2.60673,10
1,1,0,-1,0,0,0,-1,1,0,0,0.47,5.34,-22.27,-2.7057399999999996,11
0,0,-1,-1,0,1,0,0,0,1,-1,0.9,13.13,-24.65,-3.62735,12
1,0,1,-1,-1,1,1,-1,-1,1,-1,0.77,10.07,-22.93,-3.2320100000000003,13
-1,-1,0,0,0,-1,0,1,1,1,1,1.15,17.86,-25.15,-4.0889,14
0,-1,0,0,0,-1,-1,0,-1,1,0,0.88,13.19,-25.47,-3.6848899999999998,15
0,-1,-1,-1,0,0,1,-1,0,1,-1,0.82,12.4,-25.87,-3.63404,16
0,1,-1,1,0,0,0,0,1,1,0,0.82,12.31,-25.27,-3.57569,17
0,0,0,-1,-1,1,1,0,0,1,0,0.97,14.59,-25.09,-3.7889299999999997,18
1,1,-1,-1,0,1,0,1,-1,0,1,0.76,9.84,-22.79,-3.20108,19
-1,-1,-1,0,1,-1,1,0,0,1,0,1.13,19.65,-24.62,-4.082789999999999,20
-1,0,-1,1,0,0,-1,0,1,-1,-1,0.92,15.18,-28.22,-4.04754,21
0,-1,-1,0,0,0,1,0,0,-1,1,0.93,15.88,-26.15,-3.8916,22
0,-1,-1,0,0,-1,-1,0,-1,0,-1,1.21,23.02,-26.72,-4.47394,23
1,0,1,1,1,1,-1,0,0,-1,0,0.69,9.46,-24.29,-3.25578,24
-1,1,0,0,0,1,0,1,1,-1,0,1.07,15.79,-23.64,-3.79753,25
0,0,-1,0,1,0,1,0,1,1,-1,0.82,10.59,-21.81,-3.19717,26
1,1,0,1,1,1,0,-1,1,0,-1,0.82,11.22,-24.03,-3.42346,27
-1,1,-1,0,-1,0,0,-1,0,0,1,0.56,7.88,-27.29,-3.3464799999999997,28
0,1,-1,-1,-1,1,-1,0,-1,1,0,0.77,11.46,-24.88,-3.46006,29
0,-1,1,1,-1,1,1,0,1,0,-1,0.83,12.4,-24.71,-3.5373200000000002,30
0,0,0,1,0,1,0,0,0,-1,0,0.94,14.37,-25.84,-3.8202299999999996,31
0,-1,1,0,-1,0,0,1,1,0,0,1.24,20.44,-26.87,-4.427440000000001,32
1,1,0,1,0,0,0,-1,1,1,0,0.74,10.11,-23.44,-3.25033,33
0,-1,0,0,0,1,-1,1,-1,-1,0,0.86,12.62,-25.5,-3.6477000000000004,34
0,-1,0,1,1,-1,-1,0,0,0,0,0.65,8.6,-24.35,-3.1912000000000003,35
0,0,-1,-1,-1,0,0,-1,0,1,1,0.78,11.67,-26.84,-3.65773,36
-1,1,-1,1,-1,-1,0,0,-1,0,1,0.5,6.47,-25.79,-3.0991299999999997,37
0,0,1,0,0,1,1,-1,1,0,1,0.82,11.65,-24.12,-3.44679,38
-1,-1,0,1,-1,1,1,1,-1,1,0,0.73,11.32,-27.34,-3.6414799999999996,39
0,-1,0,1,-1,0,-1,-1,0,1,1,0.74,10.75,-26.47,-3.55149,40
-1,1,0,-1,-1,0,1,-1,0,1,1,0.87,13.02,-25.03,-3.6284600000000005,41
0,0,0,-1,-1,0,-1,1,0,0,0,0.87,14.67,-27.59,-3.92173,42
1,0,-1,0,-1,1,-1,1,-1,0,0,0.74,10.45,-24.91,-3.3974699999999998,43
0,1,1,0,0,0,-1,-1,-1,1,0,0.73,9.6,-23.18,-3.1985599999999996,44
-1,0,1,-1,0,0,-1,0,-1,-1,1,0.63,8.71,-25.44,-3.27533,45
0,-1,0,0,0,-1,-1,1,1,1,1,0.99,14.87,-26.24,-3.92453,46
1,1,1,1,0,-1,1,1,1,1,1,0.92,12.75,-23.31,-3.51077,47
-1,1,-1,0,-1,1,1,-1,0,0,1,0.68,10.23,-27.43,-3.56161,48
1,0,1,1,1,1,0,-1,1,-1,-1,0.86,11.81,-24.08,-3.48871,49
-1,-1,1,1,1,1,0,1,-1,1,-1,0.88,12.83,-23.24,-3.46713,50
0,-1,1,0,1,1,-1,1,-1,0,-1,0.81,11.32,-22.77,-3.3010400000000004,51
0,1,1,0,0,-1,-1,0,-1,-1,1,0.4,4.26,-24.4,-2.7939,52
-1,1,0,-1,-1,-1,-1,0,-1,-1,-1,0.98,19.21,-27.79,-4.20903,53
-1,-1,0,1,0,-1,-1,-1,1,0,-1,0.89,13.75,-26.26,-3.7871700000000006,54
0,0,1,-1,-1,0,1,1,-1,0,0,0.65,8.86,-25.69,-3.3235799999999998,55
-1,-1,1,0,-1,0,0,1,1,1,-1,1.14,19.2,-28.24,-4.41008,56
-1,-1,-1,0,1,-1,0,0,-1,1,-1,1.28,23.89,-24.83,-4.400510000000001,57
-1,-1,1,0,-1,0,0,-1,1,0,0,0.74,11.37,-28.03,-3.71671,58
-1,1,-1,0,0,-1,-1,1,-1,1,1,0.84,12.71,-24.97,-3.58209,59
