w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
1,0,-1,0,-1,0,0,0,0,0,1,0.53,6.24,-22.52
-1,0,-1,0,-1,1,0,1,0,0,1,1.06,18.46,-28.44
-1,0,0,0,1,-1,0,0,0,1,0,0.97,13.49,-22.69
0,-1,-1,1,-1,1,1,1,1,1,-1,0.98,15.59,-27.25
0,0,0,1,1,-1,0,0,1,0,0,1.02,14.53,-23.97
1,0,-1,0,1,1,0,1,0,-1,0,0.68,7.77,-20.98
0,1,0,-1,1,1,0,1,1,0,0,0.84,10.87,-22.77
0,1,0,0,0,0,-1,1,0,0,-1,1.03,15.43,-25.06
1,-1,1,0,0,0,0,0,0,0,1,0.62,7.42,-22.15
0,1,-1,1,0,1,0,-1,0,0,1,0.68,9.56,-25.42
1,1,-1,-1,0,0,0,0,0,0,1,0.51,5.73,-22.0
-1,0,0,0,-1,0,1,0,1,-1,-1,1.14,21.73,-26.88
-1,1,0,-1,0,0,1,0,0,-1,0,1.11,19.45,-25.31
0,-1,1,0,0,0,1,0,0,0,-1,1.04,17.88,-24.33
-1,0,1,-1,-1,1,1,1,-1,1,-1,0.77,10.92,-25.0
0,1,0,0,1,1,1,-1,-1,1,0,0.8,10.61,-22.16
0,-1,0,1,0,0,0,1,1,0,1,0.85,12.2,-24.87
0,0,0,0,0,1,0,0,-1,0,0,1.04,15.2,-22.17
1,-1,-1,0,0,0,-1,1,0,-1,-1,0.92,14.27,-24.25
0,1,0,0,0,0,-1,0,-1,0,1,0.65,8.34,-23.6
-1,0,-1,0,1,-1,1,0,0,1,0,1.36,23.71,-23.28
0,1,-1,-1,-1,-1,0,0,1,0,1,0.72,10.43,-27.21
-1,0,0,0,0,1,-1,-1,0,0,0,0.69,10.53,-28.32
1,1,-1,0,1,0,1,0,0,-1,0,0.78,9.76,-21.94
-1,0,-1,0,1,0,-1,0,1,1,0,1.0,15.24,-25.1
-1,1,0,0,0,0,0,1,-1,0,0,0.93,13.45,-23.08
-1,0,-1,0,1,1,-1,-1,0,0,0,0.81,12.18,-26.59
0,0,-1,1,1,0,-1,0,0,1,1,0.62,8.59,-25.79
0,0,0,0,0,1,1,-1,0,-1,0,0.67,8.26,-22.95
0,0,1,0,-1,0,1,0,-1,0,-1,1.07,18.46,-23.63
0,-1,-1,-1,1,0,0,0,0,-1,1,0.95,16.85,-26.62
0,0,-1,0,1,-1,-1,0,1,0,1,0.67,8.95,-24.64
-1,0,0,1,1,-1,-1,-1,-1,0,-1,0.84,11.81,-23.22
0,1,1,1,0,0,-1,1,0,1,0,0.75,10.28,-23.64
0,0,0,1,1,0,-1,-1,-1,0,1,0.66,8.99,-25.76
0,-1,1,0,0,0,0,0,0,1,0,0.86,12.45,-23.76
-1,-1,0,-1,1,0,-1,0,0,1,-1,1.08,17.88,-25.52
0,0,0,0,0,0,-1,-1,0,-1,0,0.42,4.71,-24.05
1,0,0,-1,1,0,-1,0,0,-1,0,0.47,5.41,-23.96
-1,1,1,0,0,0,0,1,0,0,0,0.99,14.24,-24.26
0,0,0,0,0,1,0,-1,0,0,1,0.77,10.7,-23.7
-1,0,0,-1,1,-1,1,-1,1,1,0,0.9,11.93,-22.73
0,0,0,0,-1,1,0,0,-1,0,0,0.81,11.78,-25.28
0,1,1,-1,0,0,-1,0,1,0,0,0.6,7.35,-23.39
1,0,0,0,0,0,0,-1,0,0,0,0.74,9.19,-21.44
1,0,0,0,0,0,0,0,1,0,-1,0.86,11.27,-22.66
-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0.62,9.6,-26.59
0,-1,1,0,0,0,-1,-1,0,0,0,0.74,10.14,-23.34
-1,-1,-1,0,-1,0,0,1,0,-1,-1,0.94,16.76,-29.49
