top,Yield,ROC,EarningsYield,RS(6m),ROA,ΔROA,AccrualRatio,ΔLTDebt-to-Assets,ΔCurrentRatio,ΔOpMgn,ΔAssetTurnover,roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
30,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,66.02,10.67,11.59,18.44,0.66,9.22,0.04,1.1,-28.17,-1.77,-42.28,-2.66
30,-1,-1,-1,-1,-1,-1,0,1,0,0,1,105.44,15.49,15.73,18.34,0.89,29.89,0.12,1.11,-28.61,-1.8,-41.94,-2.64
30,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,60.99,9.99,10.79,17.31,0.66,5.12,0.02,1.1,-27.03,-1.7,-41.22,-2.6
30,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,74.92,11.83,12.57,18.26,0.72,14.74,0.06,1.09,-28.87,-1.82,-41.71,-2.63
30,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,89.83,13.68,14.19,18.36,0.81,22.0,0.09,1.11,-30.01,-1.89,-42.82,-2.7
30,-1,-1,-1,-1,-1,1,0,-1,0,1,1,105.56,15.5,15.51,16.99,0.95,28.54,0.11,1.11,-27.48,-1.73,-40.02,-2.52
30,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,76.41,12.02,12.78,18.51,0.72,15.15,0.06,1.1,-28.02,-1.77,-42.72,-2.69
30,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,107.88,15.76,15.97,18.43,0.9,32.16,0.13,1.08,-28.28,-1.78,-42.18,-2.66
30,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,189.79,23.71,22.87,20.47,1.15,68.5,0.27,1.06,-29.56,-1.86,-46.93,-2.96
30,-1,-1,-1,-1,0,-1,1,-1,0,1,-1,84.85,13.07,13.51,17.47,0.81,18.38,0.07,1.11,-27.75,-1.75,-41.88,-2.64
30,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,84.52,13.03,13.49,17.52,0.8,18.38,0.07,1.11,-27.11,-1.71,-41.91,-2.64
30,-1,-1,-1,-1,0,0,0,-1,0,1,1,103.8,15.3,15.25,16.47,0.96,29.05,0.12,1.07,-27.34,-1.72,-38.77,-2.44
30,-1,-1,-1,-1,0,1,-1,-1,0,0,-1,117.13,16.77,16.84,18.49,0.94,33.5,0.13,1.15,-28.63,-1.8,-44.37,-2.8
30,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,126.32,17.75,17.43,17.3,1.04,43.07,0.17,1.01,-26.73,-1.68,-39.77,-2.51
30,-1,-1,-1,-1,1,-1,0,1,-1,1,-1,135.25,18.66,18.18,17.28,1.09,45.81,0.18,1.04,-26.47,-1.67,-39.47,-2.49
30,-1,-1,-1,-1,1,0,0,1,-1,1,-1,144.76,19.6,18.94,17.18,1.14,48.89,0.19,1.05,-26.78,-1.69,-39.57,-2.49
30,-1,-1,-1,-1,1,0,1,0,1,1,-1,178.42,22.73,21.51,17.43,1.27,65.85,0.26,0.97,-25.27,-1.59,-39.41,-2.48
30,-1,-1,-1,-1,1,1,1,1,0,0,-1,105.41,15.48,15.29,15.78,1.01,31.89,0.13,1.02,-26.1,-1.64,-36.55,-2.3
30,-1,-1,-1,0,-1,-1,-1,1,-1,0,0,96.52,14.47,14.85,18.28,0.85,24.15,0.1,1.13,-27.8,-1.75,-42.52,-2.68
30,-1,-1,-1,0,-1,0,0,1,0,-1,-1,117.0,16.76,16.83,18.52,0.94,35.22,0.14,1.11,-29.49,-1.86,-42.32,-2.67
30,-1,-1,-1,0,-1,0,1,-1,-1,-1,1,52.65,8.83,9.6,16.42,0.62,0.23,0.0,1.07,-25.39,-1.6,-39.21,-2.47
30,-1,-1,-1,0,-1,1,-1,0,-1,-1,1,91.39,13.86,14.21,17.58,0.84,21.62,0.09,1.12,-29.14,-1.84,-41.56,-2.62
30,-1,-1,-1,0,-1,1,1,-1,0,1,0,68.42,10.99,11.67,17.31,0.71,7.7,0.03,1.14,-28.2,-1.78,-40.4,-2.55
30,-1,-1,-1,0,0,-1,1,-1,1,-1,1,27.59,4.99,5.95,15.49,0.42,-15.09,-0.06,1.0,-26.58,-1.67,-36.16,-2.28
30,-1,-1,-1,0,0,0,1,0,-1,0,-1,175.96,22.51,21.66,19.18,1.16,61.65,0.24,1.08,-27.41,-1.73,-44.04,-2.77
30,-1,-1,-1,0,0,0,1,1,1,0,-1,122.8,17.38,16.99,16.48,1.07,38.97,0.15,1.05,-27.78,-1.75,-38.29,-2.41
30,-1,-1,-1,0,0,1,0,-1,0,0,-1,101.92,15.09,15.15,16.93,0.93,27.08,0.11,1.1,-27.97,-1.76,-39.92,-2.51
30,-1,-1,-1,0,0,1,0,1,0,-1,1,114.39,16.48,16.39,17.35,0.98,32.65,0.13,1.12,-29.58,-1.86,-40.66,-2.56
30,-1,-1,-1,0,1,-1,1,-1,1,1,-1,57.26,9.48,9.92,14.75,0.71,7.05,0.03,0.96,-24.43,-1.54,-34.15,-2.15
30,-1,-1,-1,0,1,0,0,-1,0,1,0,92.79,14.03,14.17,16.5,0.9,24.18,0.1,1.06,-25.88,-1.63,-38.88,-2.45
30,-1,-1,-1,0,1,0,1,0,0,1,1,90.58,13.77,13.82,15.72,0.92,24.4,0.1,1.02,-24.69,-1.56,-36.66,-2.31
30,-1,-1,-1,0,1,1,-1,-1,-1,-1,1,58.58,9.66,10.2,15.51,0.7,6.27,0.02,1.01,-25.47,-1.6,-36.79,-2.32
30,-1,-1,-1,0,1,1,1,0,0,-1,1,174.16,22.35,21.33,18.11,1.21,62.9,0.25,1.02,-26.52,-1.67,-41.64,-2.62
30,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,217.73,26.01,24.61,20.18,1.25,75.38,0.3,1.1,-30.05,-1.89,-46.5,-2.93
30,-1,-1,-1,1,-1,-1,-1,1,0,0,0,129.79,18.1,17.89,18.22,1.01,39.85,0.16,1.13,-29.74,-1.87,-41.92,-2.64
30,-1,-1,-1,1,-1,-1,0,-1,0,-1,-1,82.38,12.77,13.2,17.18,0.8,17.79,0.07,1.09,-26.93,-1.7,-40.25,-2.54
30,-1,-1,-1,1,-1,-1,0,-1,0,1,-1,69.81,11.17,11.8,17.12,0.72,9.51,0.04,1.11,-27.04,-1.7,-40.58,-2.56
30,-1,-1,-1,1,-1,-1,0,1,-1,0,1,66.57,10.74,11.37,16.82,0.71,8.22,0.03,1.09,-27.72,-1.75,-39.87,-2.51
30,-1,-1,-1,1,-1,-1,1,1,0,-1,-1,128.74,18.0,17.68,17.51,1.04,41.02,0.16,1.08,-27.41,-1.73,-40.38,-2.54
30,-1,-1,-1,1,-1,-1,1,1,1,0,0,107.42,15.71,15.56,16.29,0.99,31.37,0.12,1.06,-26.99,-1.7,-37.99,-2.39
