roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
50.98,8.59,9.56,17.48,0.58,0.41,0.0,1.06,-26.85,-1.69,-41.0,-2.58
209.13,25.32,24.13,20.51,1.21,73.51,0.29,1.09,-30.55,-1.92,-47.28,-2.98
186.41,23.42,22.63,20.41,1.14,65.38,0.26,1.1,-29.62,-1.87,-47.23,-2.98
96.4,14.45,14.91,18.66,0.83,24.88,0.1,1.12,-29.29,-1.84,-42.94,-2.7
81.17,12.62,13.11,17.38,0.79,16.33,0.06,1.11,-27.51,-1.73,-41.14,-2.59
177.04,22.6,21.9,20.02,1.12,63.62,0.25,1.06,-29.69,-1.87,-46.45,-2.93
220.3,26.22,24.87,20.72,1.23,77.43,0.31,1.09,-30.6,-1.93,-47.85,-3.01
182.03,23.04,22.32,20.37,1.12,63.1,0.25,1.12,-29.96,-1.89,-47.35,-2.98
112.57,16.28,16.28,17.72,0.95,34.7,0.14,1.06,-27.76,-1.75,-41.05,-2.59
120.22,17.1,17.12,18.56,0.96,35.67,0.14,1.13,-29.16,-1.84,-43.03,-2.71
76.48,12.03,12.72,18.07,0.74,13.27,0.05,1.13,-28.75,-1.81,-42.76,-2.69
180.53,22.91,22.24,20.53,1.11,63.82,0.25,1.09,-29.65,-1.87,-46.71,-2.94
186.11,23.4,22.65,20.63,1.13,66.86,0.27,1.07,-29.32,-1.85,-47.09,-2.97
190.38,23.76,22.83,20.11,1.17,68.83,0.27,1.05,-28.86,-1.82,-45.87,-2.89
87.62,13.41,14.03,18.73,0.78,19.81,0.08,1.14,-28.43,-1.79,-44.17,-2.78
167.51,21.75,21.23,20.11,1.09,56.85,0.23,1.13,-30.29,-1.91,-46.59,-2.93
96.89,14.51,14.89,18.31,0.85,25.98,0.1,1.1,-28.55,-1.8,-42.21,-2.66
229.63,26.94,25.28,19.96,1.3,81.12,0.32,1.06,-29.07,-1.83,-45.38,-2.86
190.76,23.8,22.79,19.78,1.18,65.96,0.26,1.11,-30.01,-1.89,-45.66,-2.88
220.55,26.23,24.76,20.09,1.26,74.87,0.3,1.13,-29.31,-1.85,-46.75,-2.94
195.69,24.21,23.07,19.51,1.21,66.78,0.26,1.12,-29.49,-1.86,-45.33,-2.86
174.51,22.38,21.46,18.7,1.18,60.52,0.24,1.08,-28.48,-1.79,-42.76,-2.69
104.69,15.4,15.64,18.22,0.89,29.96,0.12,1.09,-28.67,-1.81,-42.39,-2.67
170.37,22.01,21.58,20.78,1.07,58.92,0.23,1.13,-30.85,-1.94,-47.95,-3.02
133.65,18.5,18.28,18.54,1.02,39.86,0.16,1.17,-29.03,-1.83,-44.12,-2.78
233.27,27.22,25.65,20.73,1.27,77.94,0.31,1.16,-30.45,-1.92,-47.85,-3.01
196.95,24.32,23.16,19.56,1.22,68.35,0.27,1.1,-29.14,-1.84,-45.51,-2.87
184.46,23.26,22.24,19.15,1.19,63.9,0.25,1.09,-27.89,-1.76,-43.89,-2.76
205.5,25.03,23.76,19.78,1.23,70.7,0.28,1.11,-29.17,-1.84,-45.99,-2.9
223.28,26.45,24.84,19.67,1.29,76.87,0.31,1.1,-28.93,-1.82,-45.68,-2.88
178.89,22.77,21.8,18.84,1.19,61.77,0.25,1.09,-29.17,-1.84,-43.04,-2.71
157.45,20.82,20.21,18.74,1.11,51.06,0.2,1.14,-29.81,-1.88,-43.49,-2.74
189.79,23.71,22.87,20.47,1.15,68.5,0.27,1.06,-29.56,-1.86,-46.93,-2.96
185.17,23.32,22.36,19.5,1.18,67.39,0.27,1.03,-28.33,-1.78,-44.63,-2.81
102.82,15.19,15.2,16.74,0.94,28.22,0.11,1.08,-28.64,-1.8,-39.62,-2.5
186.91,23.47,22.62,20.24,1.15,65.69,0.26,1.1,-29.79,-1.88,-46.84,-2.95
159.85,21.04,20.25,18.0,1.16,51.9,0.21,1.13,-28.92,-1.82,-42.67,-2.69
91.97,13.93,14.37,18.15,0.82,24.9,0.1,1.07,-26.95,-1.7,-41.54,-2.62
188.31,23.59,22.71,20.17,1.16,67.14,0.27,1.07,-29.16,-1.84,-46.54,-2.93
126.67,17.78,17.87,19.43,0.95,42.08,0.17,1.08,-28.64,-1.8,-44.75,-2.82
215.54,25.84,24.63,20.96,1.2,72.9,0.29,1.16,-30.02,-1.89,-48.62,-3.06
117.28,16.79,16.88,18.66,0.94,32.81,0.13,1.17,-29.68,-1.87,-43.5,-2.74
143.72,19.5,19.17,18.84,1.05,50.92,0.2,1.03,-27.73,-1.75,-43.58,-2.75
186.39,23.42,22.51,19.83,1.17,65.59,0.26,1.08,-28.84,-1.82,-45.65,-2.88
209.51,25.35,24.26,20.98,1.18,72.37,0.29,1.13,-30.62,-1.93,-48.17,-3.03
85.94,13.21,13.6,17.3,0.82,19.72,0.08,1.09,-26.4,-1.66,-40.86,-2.57
190.39,23.76,22.79,19.86,1.18,64.93,0.26,1.13,-28.77,-1.81,-46.26,-2.91
211.44,25.51,24.18,19.99,1.24,72.37,0.29,1.12,-29.7,-1.87,-45.96,-2.9
179.46,22.82,22.12,20.29,1.12,61.45,0.24,1.13,-30.28,-1.91,-46.59,-2.94
105.18,15.46,15.75,18.58,0.88,29.18,0.12,1.12,-29.97,-1.89,-43.13,-2.72
194.65,24.13,23.15,20.25,1.17,65.99,0.26,1.15,-29.42,-1.85,-46.78,-2.95
215.99,25.87,24.67,21.03,1.2,74.45,0.3,1.13,-30.53,-1.92,-48.33,-3.04
151.18,20.23,19.84,19.28,1.06,52.24,0.21,1.08,-29.02,-1.83,-44.99,-2.83
73.75,11.68,12.18,16.74,0.76,13.22,0.05,1.08,-26.19,-1.65,-39.9,-2.51
206.09,25.08,23.83,19.97,1.22,71.35,0.28,1.11,-29.74,-1.87,-46.0,-2.9
83.75,12.94,13.33,17.1,0.82,17.23,0.07,1.11,-28.11,-1.77,-40.79,-2.57
106.05,15.56,15.65,17.59,0.92,27.92,0.11,1.14,-28.24,-1.78,-40.94,-2.58
210.12,25.4,24.1,20.02,1.23,70.91,0.28,1.14,-29.49,-1.86,-46.35,-2.92
157.58,20.83,20.1,18.09,1.14,49.7,0.2,1.16,-29.08,-1.83,-42.52,-2.68
186.4,23.42,22.5,19.79,1.17,63.57,0.25,1.13,-29.07,-1.83,-45.74,-2.88
144.48,19.58,19.3,19.22,1.04,48.63,0.19,1.1,-28.92,-1.82,-44.08,-2.78
173.89,22.32,21.55,19.39,1.14,59.13,0.23,1.12,-28.53,-1.8,-44.75,-2.82
157.51,20.83,20.14,18.32,1.13,50.32,0.2,1.15,-29.29,-1.85,-43.12,-2.72
112.68,16.29,16.36,18.09,0.94,30.67,0.12,1.16,-29.34,-1.85,-42.44,-2.67
89.81,13.68,14.06,17.6,0.83,19.7,0.08,1.14,-27.51,-1.73,-42.74,-2.69
165.85,21.6,20.77,18.39,1.16,53.13,0.21,1.16,-29.67,-1.87,-43.21,-2.72
185.22,23.32,22.13,18.28,1.24,65.76,0.26,1.04,-27.4,-1.73,-42.06,-2.65
199.44,24.53,23.16,18.68,1.27,72.37,0.29,1.01,-25.9,-1.63,-42.66,-2.69
244.15,28.04,25.9,18.85,1.41,85.87,0.34,1.02,-27.39,-1.73,-43.59,-2.75
140.71,19.21,18.74,17.81,1.09,51.79,0.21,0.97,-25.99,-1.64,-40.71,-2.56
104.39,15.37,15.05,14.87,1.05,32.95,0.13,0.97,-23.72,-1.49,-34.46,-2.17
170.2,21.99,20.65,15.83,1.34,59.19,0.23,1.02,-24.46,-1.54,-36.1,-2.27
150.7,20.18,19.84,19.44,1.05,51.63,0.2,1.09,-29.24,-1.84,-44.6,-2.81
174.45,22.37,21.59,19.4,1.14,59.56,0.24,1.11,-28.95,-1.82,-44.71,-2.82
217.73,26.01,24.61,20.18,1.25,75.38,0.3,1.1,-30.05,-1.89,-46.5,-2.93
171.22,22.09,21.4,19.58,1.12,58.96,0.23,1.11,-29.36,-1.85,-45.51,-2.87
172.65,22.21,21.37,18.9,1.16,60.47,0.24,1.07,-27.63,-1.74,-42.95,-2.71
154.22,20.52,19.96,18.68,1.1,55.48,0.22,1.02,-26.34,-1.66,-42.91,-2.7
179.03,22.78,21.76,18.59,1.2,64.04,0.25,1.04,-27.46,-1.73,-42.19,-2.66
146.81,19.8,19.45,19.0,1.06,50.46,0.2,1.07,-28.18,-1.78,-44.01,-2.77
104.29,15.36,15.58,18.12,0.89,25.78,0.1,1.18,-29.13,-1.84,-43.14,-2.72
187.79,23.54,22.58,19.72,1.18,64.35,0.26,1.12,-29.11,-1.83,-45.71,-2.88
182.5,23.08,22.12,19.22,1.18,64.12,0.25,1.07,-28.48,-1.79,-43.75,-2.76
230.53,27.01,25.35,20.07,1.29,79.23,0.31,1.1,-29.03,-1.83,-45.91,-2.89
88.75,13.55,13.84,16.99,0.85,20.59,0.08,1.1,-26.99,-1.7,-39.55,-2.49
202.5,24.78,23.44,19.13,1.26,71.47,0.28,1.06,-28.32,-1.78,-42.99,-2.71
97.12,14.54,14.73,17.23,0.89,24.29,0.1,1.12,-27.85,-1.75,-40.88,-2.58
