top,Yield,ROC,EarningsYield,RS(6m),ROA,ΔROA,AccrualRatio,ΔLTDebt-to-Assets,ΔCurrentRatio,ΔOpMgn,ΔAssetTurnover,roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
30,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,65.72,10.63,11.53,18.44,0.66,8.99,0.04,1.1,-28.17,-1.77,-42.32,-2.67
30,-1,-1,-1,-1,-1,-1,0,1,0,0,1,104.84,15.42,15.71,18.32,0.89,29.86,0.12,1.11,-28.63,-1.8,-41.95,-2.64
30,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,60.47,9.92,10.75,17.3,0.66,4.85,0.02,1.1,-27.03,-1.7,-41.26,-2.6
30,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,74.67,11.8,12.51,18.24,0.72,14.43,0.06,1.09,-28.89,-1.82,-41.74,-2.63
30,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,89.69,13.66,14.15,18.34,0.81,21.68,0.09,1.11,-30.01,-1.89,-42.85,-2.7
30,-1,-1,-1,-1,-1,1,0,-1,0,1,1,104.84,15.42,15.51,16.98,0.95,28.26,0.11,1.11,-27.5,-1.73,-40.04,-2.52
30,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,76.16,11.99,12.73,18.49,0.72,15.14,0.06,1.1,-28.02,-1.77,-42.74,-2.69
30,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,107.15,15.68,15.91,18.42,0.9,32.08,0.13,1.08,-28.28,-1.78,-42.22,-2.66
30,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,189.28,23.67,22.86,20.45,1.15,68.32,0.27,1.06,-29.58,-1.86,-46.93,-2.96
30,-1,-1,-1,-1,0,-1,1,-1,0,1,-1,84.41,13.02,13.45,17.46,0.81,18.28,0.07,1.11,-27.76,-1.75,-41.9,-2.64
30,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,84.41,13.02,13.45,17.51,0.8,18.28,0.07,1.11,-27.12,-1.71,-41.95,-2.64
30,-1,-1,-1,-1,0,0,0,-1,0,1,1,103.33,15.25,15.24,16.46,0.96,28.9,0.11,1.07,-27.34,-1.72,-38.78,-2.44
30,-1,-1,-1,-1,0,1,-1,-1,0,0,-1,116.36,16.69,16.81,18.49,0.94,33.33,0.13,1.15,-28.65,-1.8,-44.38,-2.8
30,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,125.59,17.67,17.38,17.28,1.04,43.04,0.17,1.01,-26.75,-1.69,-39.82,-2.51
30,-1,-1,-1,-1,1,-1,0,1,-1,1,-1,134.95,18.63,18.13,17.28,1.09,45.69,0.18,1.04,-26.48,-1.67,-39.48,-2.49
30,-1,-1,-1,-1,1,0,0,1,-1,1,-1,144.41,19.57,18.92,17.17,1.14,48.88,0.19,1.05,-26.79,-1.69,-39.59,-2.49
30,-1,-1,-1,-1,1,0,1,0,1,1,-1,178.45,22.73,21.5,17.41,1.27,65.61,0.26,0.97,-25.29,-1.59,-39.42,-2.48
30,-1,-1,-1,-1,1,1,1,1,0,0,-1,104.84,15.42,15.24,15.77,1.01,31.76,0.13,1.02,-26.11,-1.64,-36.57,-2.3
30,-1,-1,-1,0,-1,-1,-1,1,-1,0,0,96.54,14.47,14.84,18.27,0.85,24.02,0.1,1.13,-27.8,-1.75,-42.53,-2.68
30,-1,-1,-1,0,-1,0,0,1,0,-1,-1,116.36,16.69,16.81,18.51,0.94,35.19,0.14,1.11,-29.49,-1.86,-42.32,-2.67
30,-1,-1,-1,0,-1,0,1,-1,-1,-1,1,52.25,8.77,9.54,16.41,0.62,0.16,0.0,1.07,-25.41,-1.6,-39.24,-2.47
30,-1,-1,-1,0,-1,1,-1,0,-1,-1,1,91.19,13.84,14.15,17.56,0.84,21.35,0.08,1.12,-29.15,-1.84,-41.58,-2.62
30,-1,-1,-1,0,-1,1,1,-1,0,1,0,67.9,10.92,11.61,17.3,0.71,7.5,0.03,1.14,-28.22,-1.78,-40.43,-2.55
30,-1,-1,-1,0,0,-1,1,-1,1,-1,1,26.9,4.88,5.92,15.47,0.42,-15.26,-0.06,1.0,-26.59,-1.68,-36.18,-2.28
30,-1,-1,-1,0,0,0,1,0,-1,0,-1,175.97,22.51,21.62,19.16,1.16,61.51,0.24,1.08,-27.43,-1.73,-44.07,-2.78
30,-1,-1,-1,0,0,0,1,1,1,0,-1,122.54,17.35,16.94,16.46,1.07,38.86,0.15,1.05,-27.78,-1.75,-38.3,-2.41
30,-1,-1,-1,0,0,1,0,-1,0,0,-1,101.84,15.08,15.11,16.9,0.93,26.97,0.11,1.1,-27.98,-1.76,-39.93,-2.52
30,-1,-1,-1,0,0,1,0,1,0,-1,1,114.05,16.44,16.36,17.33,0.98,32.39,0.13,1.12,-29.6,-1.86,-40.71,-2.56
30,-1,-1,-1,0,1,-1,1,-1,1,1,-1,56.71,9.4,9.87,14.75,0.71,6.75,0.03,0.96,-24.45,-1.54,-34.2,-2.15
30,-1,-1,-1,0,1,0,0,-1,0,1,0,92.71,14.02,14.15,16.49,0.9,24.02,0.1,1.06,-25.9,-1.63,-38.9,-2.45
30,-1,-1,-1,0,1,0,1,0,0,1,1,90.44,13.75,13.8,15.71,0.92,24.35,0.1,1.02,-24.7,-1.56,-36.7,-2.31
30,-1,-1,-1,0,1,1,-1,-1,-1,-1,1,58.22,9.61,10.19,15.5,0.7,5.99,0.02,1.01,-25.48,-1.61,-36.83,-2.32
30,-1,-1,-1,0,1,1,1,0,0,-1,1,173.5,22.29,21.33,18.09,1.21,62.89,0.25,1.02,-26.52,-1.67,-41.69,-2.63
30,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,217.58,26.0,24.58,20.18,1.25,75.29,0.3,1.1,-30.06,-1.89,-46.55,-2.93
