annualized,mean,std,sharpe,alpha,beta,var,tvar
194,204,310,276,209,478,589,678
395,429,437,591,445,521,419,554
368,402,433,555,415,535,462,555
254,276,358,393,277,563,477,642
234,250,306,373,252,549,559,676
357,389,416,544,408,478,458,571
408,443,447,601,460,521,417,542
363,397,431,544,406,563,446,553
276,296,320,455,308,478,547,677
285,309,353,460,311,576,483,640
228,244,334,348,243,576,502,645
361,395,438,539,409,521,460,566
368,403,443,550,420,492,475,558
373,406,420,570,427,464,497,583
243,263,360,368,262,590,517,618
345,378,420,529,384,576,431,569
255,275,343,403,280,535,511,656
418,450,413,636,473,478,487,593
373,405,405,576,417,549,444,588
408,441,419,616,450,576,476,565
379,410,393,591,420,563,468,594
354,382,359,576,397,507,514,645
265,286,340,423,293,521,506,652
349,384,449,518,391,576,406,540
303,328,353,492,325,630,489,619
422,457,447,621,461,617,424,542
381,412,396,596,426,535,484,591
366,395,378,581,409,521,542,623
391,423,405,601,434,549,482,581
411,442,400,631,457,535,493,587
359,388,365,581,401,521,482,640
333,360,361,539,363,590,453,631
372,407,435,560,426,478,464,562
367,398,393,576,422,436,521,608
263,280,282,449,287,507,507,703
369,402,425,560,416,535,454,563
336,361,331,565,366,576,494,647
248,268,337,388,277,492,584,668
370,404,422,565,421,492,483,570
294,321,390,455,332,507,507,606
402,438,457,586,443,617,443,526
282,306,358,449,302,630,459,631
316,343,365,507,363,436,549,629
368,400,407,570,415,507,498,588
395,432,458,576,441,576,416,536
241,257,303,388,262,521,609,681
373,405,409,576,413,576,501,575
398,430,414,606,441,563,458,582
360,393,427,544,400,576,431,569
266,288,354,418,290,563,446,638
378,412,426,570,417,604,471,565
403,439,460,586,448,576,420,532
325,354,384,513,367,507,489,601
224,237,282,358,243,507,618,698
391,424,413,596,437,549,456,581
238,253,296,388,254,549,531,682
267,287,315,439,286,590,525,679
396,429,416,601,435,590,468,574
333,358,334,555,358,617,487,650
368,400,406,570,408,576,487,586
317,345,381,502,355,535,494,619
353,383,388,555,392,563,512,606
333,359,344,550,361,604,477,638
276,297,334,449,295,617,475,651
246,263,315,393,262,590,559,646
343,370,346,565,370,617,459,636
367,394,342,606,416,450,564,658
384,412,358,621,441,409,631,647
434,462,365,688,491,423,564,629
312,336,323,529,366,356,627,684
265,278,219,507,302,356,719,785
348,368,250,655,392,423,690,761
324,354,390,507,365,521,479,609
354,384,389,555,393,549,493,607
405,438,423,611,452,535,442,570
350,381,396,544,391,549,474,591
351,380,368,565,397,492,553,641
329,356,358,534,379,423,611,642
359,387,355,586,410,450,561,656
319,347,372,513,361,492,528,621
265,286,336,423,280,643,484,638
370,402,403,576,411,563,485,587
363,393,381,576,410,492,514,626
419,452,418,631,466,535,489,583
244,260,292,403,264,535,583,704
387,417,377,616,437,478,522,641
255,273,301,423,275,563,543,680
247,266,336,388,260,643,485,646
226,240,301,353,239,576,556,690
303,331,386,470,339,535,510,611
333,364,404,513,369,576,449,586
326,354,368,523,369,492,512,639
276,294,286,476,303,507,572,703
356,382,332,596,413,382,621,678
280,298,273,497,319,395,605,727
205,214,252,325,224,436,644,741
296,314,270,534,334,436,615,732
260,275,262,460,292,423,633,745
215,224,246,353,239,395,620,755
254,276,367,388,275,590,446,616
357,389,408,550,411,450,570,596
370,406,445,550,421,507,458,548
363,397,435,544,423,423,508,573
262,282,321,429,288,521,460,668
342,374,415,523,392,478,506,589
402,436,434,601,457,492,485,567
398,435,466,576,448,549,437,520
410,446,455,601,457,563,415,525
367,397,379,586,419,464,553,617
355,384,370,570,398,507,458,616
397,431,428,596,449,507,495,567
262,286,377,403,284,604,401,598
359,392,409,555,404,535,537,574
378,414,459,555,432,507,448,542
391,428,471,565,439,563,397,507
427,461,440,631,472,576,482,537
313,338,333,523,346,535,498,658
398,432,436,596,446,535,482,556
260,280,343,413,288,521,533,662
314,342,379,497,358,478,471,610
348,378,384,550,392,507,532,612
360,388,364,581,403,521,518,637
257,273,287,434,277,549,535,704
280,301,317,465,306,549,506,670
451,483,431,665,503,507,475,572
344,370,342,570,375,576,488,637
249,268,327,398,273,535,465,659
500,529,435,715,541,590,435,550
318,340,297,555,348,549,535,689
365,394,370,586,408,521,525,628
388,417,373,616,437,492,487,621
374,408,433,560,432,436,500,571
376,409,415,576,431,464,513,589
373,402,365,601,427,436,548,628
243,259,298,398,270,464,587,689
213,222,243,353,238,382,678,758
322,346,332,539,358,521,493,660
376,405,364,606,433,423,605,627
312,334,291,550,358,395,569,711
408,434,340,670,474,343,676,663
254,266,222,476,296,306,695,779
340,363,295,601,405,294,704,716
430,459,381,670,495,382,605,623
351,383,402,544,393,549,520,590
378,412,433,570,431,492,480,562
398,431,415,606,456,450,508,592
232,245,282,378,251,507,620,704
217,229,294,334,234,507,583,693
367,396,375,586,416,478,562,615
326,355,378,518,370,492,578,612
376,408,397,586,421,535,499,601
416,448,409,636,470,478,472,605
273,293,319,449,302,521,557,684
393,426,420,596,447,478,503,576
262,284,350,413,288,549,498,651
336,368,415,513,372,590,462,562
383,414,383,606,431,492,553,606
357,386,365,576,401,507,543,631
255,272,292,429,275,549,539,705
252,271,319,408,270,590,511,655
276,298,336,449,294,630,515,632
459,492,454,660,504,576,405,547
369,396,338,616,397,630,457,656
382,413,383,601,427,521,563,611
317,343,343,523,347,576,457,641
256,271,265,449,285,450,655,724
278,298,313,465,313,450,596,696
444,477,435,651,499,492,434,568
442,473,421,660,490,535,457,558
235,246,237,413,262,409,651,762
296,314,272,534,343,356,606,733
291,306,222,570,338,318,737,779
303,323,280,539,343,423,578,721
324,345,291,576,388,271,743,718
363,394,385,576,406,535,493,613
281,302,318,470,305,576,513,672
215,227,281,339,232,492,534,700
329,355,339,550,358,590,489,658
282,303,310,476,317,464,561,694
220,232,277,353,239,478,642,708
321,350,386,502,362,521,540,611
237,251,279,393,260,478,612,722
205,215,280,315,220,507,575,714
327,355,367,529,375,450,578,642
325,349,322,550,381,356,634,704
394,425,391,616,441,521,549,615
369,398,376,586,416,492,583,621
357,389,408,550,397,576,501,583
255,273,301,423,277,535,455,684
352,381,372,565,398,492,558,625
309,333,332,513,336,590,538,660
246,262,289,408,268,521,553,695
261,280,316,429,281,576,510,673
267,285,288,455,293,507,576,721
239,256,313,383,255,576,528,676
345,374,374,555,390,507,566,632
329,359,384,518,371,521,520,627
209,221,305,315,221,563,539,692
234,250,308,373,251,549,522,684
222,234,275,358,244,450,617,725
210,220,276,325,227,478,600,722
265,281,271,465,293,478,653,732
219,228,229,373,249,330,676,770
244,255,227,444,280,330,693,783
234,246,245,408,266,369,680,759
250,271,354,388,271,590,491,623
411,445,429,616,464,507,509,559
273,295,340,439,304,507,486,660
237,254,340,363,258,535,537,655
414,448,431,616,468,507,474,550
409,442,426,616,465,478,477,572
270,292,344,434,303,492,524,658
225,236,256,373,249,436,611,740
237,256,360,358,259,549,506,634
343,369,348,565,376,576,482,643
288,308,287,507,320,492,534,698
335,357,282,601,371,492,566,716
193,200,256,293,210,436,625,738
335,361,339,560,385,423,562,665
380,411,391,596,431,478,525,595
384,416,396,596,434,492,565,586
336,363,354,550,375,521,441,649
260,279,305,434,281,563,563,672
253,269,281,429,276,507,607,701
385,415,386,606,436,478,553,595
232,245,267,388,252,492,565,718
355,385,383,560,409,436,588,610
214,225,281,334,237,423,596,715
319,345,348,523,376,356,635,652
257,273,285,434,287,450,601,711
296,318,328,492,332,478,546,665
190,196,248,284,206,423,634,748
335,359,322,570,391,356,657,681
225,234,227,393,254,356,655,770
383,415,409,591,426,563,498,582
391,426,443,581,450,464,463,554
403,435,401,621,449,535,478,588
388,421,423,586,446,450,468,583
342,367,329,576,391,423,622,671
431,462,408,655,485,478,515,595
408,441,417,616,457,521,516,585
296,318,321,497,332,478,524,686
303,325,312,518,331,549,488,680
277,297,303,470,302,549,489,691
409,441,409,626,458,507,554,595
253,269,294,418,273,535,544,690
400,429,367,641,453,450,520,634
325,350,332,544,359,535,525,675
268,284,271,470,294,492,598,729
381,411,384,601,426,521,512,608
400,430,379,631,452,478,487,626
284,303,293,492,310,535,501,701
348,375,352,570,397,450,558,642
350,377,349,576,396,464,588,650
261,278,288,444,285,521,585,706
368,400,406,570,425,436,527,584
271,287,258,486,303,436,674,739
283,303,303,481,318,464,584,692
211,218,214,363,238,343,729,789
252,264,236,460,284,382,690,772
272,292,316,449,302,507,527,673
229,239,227,403,261,343,701,775
241,253,237,429,273,369,710,768
392,423,389,616,440,507,546,615
298,321,328,497,330,535,549,671
206,216,280,315,223,464,553,707
357,386,375,570,406,478,562,621
306,331,351,497,353,423,589,646
371,401,382,586,417,507,561,618
370,400,379,586,421,464,552,618
242,256,273,408,270,436,624,729
320,345,329,539,374,369,641,680
405,436,395,631,456,492,558,612
254,271,301,418,275,549,554,685
272,291,303,460,296,549,553,684
259,279,326,418,279,590,458,655
245,262,309,398,267,535,499,673
292,312,292,507,319,535,553,711
240,257,316,383,258,563,504,684
376,405,362,611,434,409,559,653
216,228,287,339,233,492,611,718
348,376,360,565,398,450,581,656
228,239,251,388,254,409,649,757
217,229,283,344,236,478,541,702
260,279,315,429,281,576,499,669
238,254,305,383,256,549,568,691
239,254,289,393,261,507,629,718
243,259,301,393,262,549,583,701
254,269,274,434,282,464,611,731
225,239,309,348,241,549,497,685
219,230,261,358,240,450,688,746
343,371,360,555,389,464,580,648
238,252,278,398,260,492,601,721
226,240,293,358,243,535,620,705
189,195,247,284,209,382,615,741
217,227,240,363,245,369,667,758
234,247,279,383,255,492,617,714
210,219,265,329,232,423,609,736
219,227,217,383,252,306,747,787
219,226,201,398,255,271,743,806
224,233,223,393,256,330,706,787
304,328,333,507,340,507,493,675
350,384,443,523,398,521,408,543
340,373,422,518,379,576,454,563
396,433,464,576,440,590,440,527
358,391,416,550,400,549,450,573
238,255,325,373,261,507,588,676
322,343,290,570,385,283,686,726
286,310,355,460,311,590,467,638
294,321,376,460,310,693,412,596
303,332,402,465,338,563,417,584
194,202,270,289,206,492,596,723
331,358,353,544,381,436,572,650
288,307,286,507,322,464,537,716
321,349,376,513,360,521,528,631
210,221,281,325,225,521,583,710
207,216,266,320,222,492,608,726
240,257,318,378,260,549,580,670
288,311,338,470,323,492,542,671
268,292,374,413,294,576,440,626
233,244,227,418,263,382,671,766
227,239,272,373,248,464,602,718
